"CustomerID,CustGender,CustAccountBalance,TransactionDateTime",User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y
"C1011112,M,18497.43,2016-08-27 16:35:26",Young Professional,61,Male,Divorced,High,University,Sales promotion account executive,Rent,4,0.33,325.0,Good,False,True,True,False,True,False
"C1013150,M,4337.12,2016-09-25 19:27:30",Student,53,Female,Widowed,High,College,Mudlogger,Rent,2,0.32,749.0,Bad,True,True,False,False,False,True
"C1013448,M,27818.65,2016-09-12 20:17:35",Self-Employed,39,Female,Divorced,High,High School,Chief Marketing Officer,Rent,1,0.18,507.0,Moderate,True,False,False,False,False,True
"C1013770,M,590085.0,2016-08-20 11:05:39",Retired,25,Male,Single,Medium,College,"Programme researcher, broadcasting/film/video",Rent,0,0.14,734.0,Moderate,True,False,False,True,False,False
"C1014092,M,1842.9,2016-08-19 21:19:52",Young Professional,25,Male,Divorced,Low,High School,Cytogeneticist,Rent,4,0.29,512.0,Moderate,True,False,False,False,True,True
"C1015616,M,777.11,2016-09-10 20:48:34",Retired,69,Female,Divorced,High,College,Customer service manager,Rent,3,0.13,563.0,Good,True,True,False,True,True,True
"C1016228,M,49402.35,2016-09-09 19:59:54",Retired,69,Male,Widowed,Low,High School,English as a second language teacher,Own,2,0.28,785.0,Moderate,True,True,False,False,True,True
"C1017590,F,20441.12,2016-08-16 14:48:04",Retired,41,Female,Single,Low,College,Police officer,Rent,4,0.33,593.0,Moderate,False,True,False,False,False,True
"C1018936,M,17001.64,2016-09-14 18:27:13",Student,57,Female,Divorced,Low,College,Statistician,Rent,4,0.4,676.0,Good,False,True,True,False,True,False
"C1019218,M,19504.76,2016-08-13 10:53:45",Retired,56,Male,Married,Medium,University,Network engineer,Rent,2,0.35,404.0,Good,True,True,False,False,True,False
"C1020584,F,14847.13,2016-09-12 14:55:57",Self-Employed,47,Male,Single,Low,College,"Administrator, arts",Rent,4,0.1,613.0,Good,True,True,True,True,False,True
"C1022588,M,156763.29,2016-09-07 10:47:44",Self-Employed,70,Female,Divorced,High,High School,Freight forwarder,Rent,4,0.13,662.0,Good,True,True,True,True,True,False
"C1022861,M,50428.62,2016-09-10 21:58:25",Student,55,Male,Divorced,Medium,University,"Doctor, hospital",Rent,4,0.41,795.0,Moderate,True,False,False,False,True,True
