,"CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed",queryFormat
0,"C1011112,M,18497.43,2016-08-27 16:35:26,Young Professional,61,Male,Divorced,High,University,Sales promotion account executive,Rent,4,0.33,325.0,Good,False,True,True,False,True,False,""Credit Score Accelerator Program, Infinity Retirement Plus Plan, Green Home Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1011112,M,18497.43,2016-08-27 16:35:26,Young Professional,61,Male,Divorced,High,University,Sales promotion account executive,Rent,4,0.33,325.0,Good,False,True,True,False,True,False,""Credit Score Accelerator Program, Infinity Retirement Plus Plan, Green Home Loan""'}, suggest suitable banking lending products"
1,"C1013150,M,4337.12,2016-09-25 19:27:30,Student,53,Female,Widowed,High,College,Mudlogger,Rent,2,0.32,749.0,Bad,True,True,False,False,False,True,""Personal Loan, Salary Advance Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1013150,M,4337.12,2016-09-25 19:27:30,Student,53,Female,Widowed,High,College,Mudlogger,Rent,2,0.32,749.0,Bad,True,True,False,False,False,True,""Personal Loan, Salary Advance Loan""'}, suggest suitable banking lending products"
2,"C1013448,M,27818.65,2016-09-12 20:17:35,Self-Employed,39,Female,Divorced,High,High School,Chief Marketing Officer,Rent,1,0.18,507.0,Moderate,True,False,False,False,False,True,""Infinity Capital Smart ULIP, Personalized Loan Pre-Approval Checker, AutoPay Smart Billing, Elite Privilege Banking, Medical Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1013448,M,27818.65,2016-09-12 20:17:35,Self-Employed,39,Female,Divorced,High,High School,Chief Marketing Officer,Rent,1,0.18,507.0,Moderate,True,False,False,False,False,True,""Infinity Capital Smart ULIP, Personalized Loan Pre-Approval Checker, AutoPay Smart Billing, Elite Privilege Banking, Medical Loan""'}, suggest suitable banking lending products"
3,"C1013770,M,590085.0,2016-08-20 11:05:39,Retired,25,Male,Single,Medium,College,""Programme researcher, broadcasting/film/video"",Rent,0,0.14,734.0,Moderate,True,False,False,True,False,False,""Fixed-Rate Mortgage, Fuel Saver Credit Card""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1013770,M,590085.0,2016-08-20 11:05:39,Retired,25,Male,Single,Medium,College,""Programme researcher, broadcasting/film/video"",Rent,0,0.14,734.0,Moderate,True,False,False,True,False,False,""Fixed-Rate Mortgage, Fuel Saver Credit Card""'}, suggest suitable banking lending products"
4,"C1014092,M,1842.9,2016-08-19 21:19:52,Young Professional,25,Male,Divorced,Low,High School,Cytogeneticist,Rent,4,0.29,512.0,Moderate,True,False,False,False,True,True,AutoPay Smart Billing","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1014092,M,1842.9,2016-08-19 21:19:52,Young Professional,25,Male,Divorced,Low,High School,Cytogeneticist,Rent,4,0.29,512.0,Moderate,True,False,False,False,True,True,AutoPay Smart Billing'}, suggest suitable banking lending products"
5,"C1015616,M,777.11,2016-09-10 20:48:34,Retired,69,Female,Divorced,High,College,Customer service manager,Rent,3,0.13,563.0,Good,True,True,False,True,True,True,""Dynamic Equity-Linked Savings Plan, NextGen Tech Fund, Business Expansion Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1015616,M,777.11,2016-09-10 20:48:34,Retired,69,Female,Divorced,High,College,Customer service manager,Rent,3,0.13,563.0,Good,True,True,False,True,True,True,""Dynamic Equity-Linked Savings Plan, NextGen Tech Fund, Business Expansion Loan""'}, suggest suitable banking lending products"
6,"C1016228,M,49402.35,2016-09-09 19:59:54,Retired,69,Male,Widowed,Low,High School,English as a second language teacher,Own,2,0.28,785.0,Moderate,True,True,False,False,True,True,""Fixed-Rate Home Loan, Online Shopping Card""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1016228,M,49402.35,2016-09-09 19:59:54,Retired,69,Male,Widowed,Low,High School,English as a second language teacher,Own,2,0.28,785.0,Moderate,True,True,False,False,True,True,""Fixed-Rate Home Loan, Online Shopping Card""'}, suggest suitable banking lending products"
7,"C1017590,F,20441.12,2016-08-16 14:48:04,Retired,41,Female,Single,Low,College,Police officer,Rent,4,0.33,593.0,Moderate,False,True,False,False,False,True,""Wedding Loan, Silver Travel Card""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1017590,F,20441.12,2016-08-16 14:48:04,Retired,41,Female,Single,Low,College,Police officer,Rent,4,0.33,593.0,Moderate,False,True,False,False,False,True,""Wedding Loan, Silver Travel Card""'}, suggest suitable banking lending products"
8,"C1018936,M,17001.64,2016-09-14 18:27:13,Student,57,Female,Divorced,Low,College,Statistician,Rent,4,0.4,676.0,Good,False,True,True,False,True,False,""Entertainment Card, Titan Blue Chip Stock Basket""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1018936,M,17001.64,2016-09-14 18:27:13,Student,57,Female,Divorced,Low,College,Statistician,Rent,4,0.4,676.0,Good,False,True,True,False,True,False,""Entertainment Card, Titan Blue Chip Stock Basket""'}, suggest suitable banking lending products"
9,"C1019218,M,19504.76,2016-08-13 10:53:45,Retired,56,Male,Married,Medium,University,Network engineer,Rent,2,0.35,404.0,Good,True,True,False,False,True,False,""Senior Citizen Debit Card, Gold Debit Card, Virtual Card Vault, Flexi Fixed Deposit""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1019218,M,19504.76,2016-08-13 10:53:45,Retired,56,Male,Married,Medium,University,Network engineer,Rent,2,0.35,404.0,Good,True,True,False,False,True,False,""Senior Citizen Debit Card, Gold Debit Card, Virtual Card Vault, Flexi Fixed Deposit""'}, suggest suitable banking lending products"
