CustomerID,CustGender,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
C5533885,M,9283.45,25/9/16,235351,108.0
C5533885,M,9283.45,3/8/16,143820,499.0
C5533885,M,3307.89,4/8/16,170058,1.0
C5533885,M,20845.31,10/8/16,163930,918.86
C5533885,M,20845.31,21/8/16,224421,1180.68
C5533885,M,74967.38,31/8/16,171114,147.0
C6624352,M,152832.32,27/9/16,2251,2097.74
C6624352,M,21033.82,26/8/16,215228,1853.0
C6624352,M,21033.82,28/8/16,174833,620.0
C6624352,M,20456.75,28/8/16,195302,2805.0
C6624352,M,17186.1,30/8/16,212439,200.0
C6624352,M,12415.46,1/9/16,172337,800.0
C1736254,F,20205.36,1/8/16,120418,150.0
C1736254,M,1406.71,14/8/16,160933,40.0
C1736254,F,48527.09,20/8/16,125403,3825.0
C1736254,M,3389813.4,22/8/16,173645,15.5
C1736254,M,14126.96,27/8/16,113309,45.0
C1736254,F,5451.42,29/8/16,182747,1479.0
C6735477,M,3251.63,1/8/16,204208,10.0
C6735477,F,11873.36,15/8/16,82342,115.0
C6735477,M,466088.07,26/8/16,185031,2000.0
C6735477,M,11320.08,27/8/16,174505,100.0
C6735477,F,143.71,3/9/16,195417,231.0
C6735477,M,12729.49,12/9/16,72544,48.0
C1113684,M,9.85,21/8/16,185403,477.0
C1113684,F,17797.66,23/8/16,211004,348.0
C1113684,M,37657.39,27/8/16,75026,34980.0
C1113684,M,1345.18,28/8/16,195728,40.0
C1113684,M,51054.96,28/8/16,131108,30.0
C1113684,M,214567.77,1/9/16,114314,1998.0
C1026833,M,6445.23,8/8/16,172131,4.0
C1026833,M,5002.28,21/8/16,100225,846.0
C1026833,M,5118.79,21/8/16,205739,871.0
C1026833,F,3242.42,31/8/16,125656,1245.0
C1026833,M,118800.14,31/8/16,152237,320.0
C1026833,M,33193.87,6/9/16,201308,50.0
C7537344,F,38274.16,1/8/16,135632,340.0
C7537344,F,12928.84,1/8/16,183819,668.5
C7537344,M,60696.93,5/8/16,18,18989.0
C7537344,M,454.74,8/8/16,120225,400.0
C7537344,F,10481.5,5/9/16,102334,200.0
C7537344,F,9564.41,12/9/16,95137,1000.0
C5418253,M,42519.32,1/8/16,221228,2489.0
C5418253,M,35413.49,12/8/16,182519,1400.0
C5418253,M,222529.0,12/8/16,185651,200.0
C5418253,M,7061.42,12/8/16,194920,1022.5
C5418253,F,166181.44,19/8/16,185652,349.17
C5418253,M,18265.78,24/8/16,225555,262.11
C4327447,M,10065.22,26/9/16,230525,30.0
C4327447,M,46392.71,2/8/16,145819,350.0
C4327447,M,120362.02,14/8/16,190737,964.0
C4327447,F,200265.6,17/8/16,173155,8135.0
C4327447,M,200665.41,25/8/16,105709,1548.0
C4327447,M,936.38,9/9/16,210240,1000.0
C4021562,M,143911.46,3/8/16,204811,234.52
C4021562,M,43342.0,15/8/16,191233,1318.51
C4021562,M,54687.88,17/8/16,142516,49.0
C4021562,M,7360.83,24/8/16,155615,48.0
C4021562,F,21650.78,2/9/16,132129,50.0
C4021562,F,319356.93,5/9/16,161718,8096.0
C4513786,F,119748.1,7/8/16,72023,2000.0
C4513786,M,119.0,10/8/16,215650,170.0
C4513786,M,83.11,26/8/16,215813,200.0
C4513786,M,52674.13,5/9/16,154558,10000.0
C4513786,M,19017.77,8/9/16,185621,380.0
C4513786,M,10020.61,10/9/16,201028,50.0
C6222360,F,17138.78,18/8/16,123314,30.0
C6222360,M,5120988.55,22/8/16,427,5300.0
C6222360,F,8552.66,24/8/16,174325,20.0
C6222360,M,38082.12,6/9/16,106,275.0
C6222360,F,5270.9,12/9/16,230530,100.0
C6222360,M,482.98,15/9/16,131848,100.0
C3226689,M,11369.4,26/9/16,131342,200.0
C3226689,M,96820.46,30/9/16,145016,418.0
C3226689,F,1667.83,8/8/16,190233,4700.0
C3226689,M,588826.94,1/9/16,165554,6351.39
C3226689,M,369.36,4/9/16,134645,1749.0
C3226689,M,12977.22,15/9/16,195929,1340.0
C5531319,M,31843.01,5/8/16,183808,2000.0
C5531319,M,651.67,8/8/16,152955,5000.0
C5531319,F,93209.71,7/8/16,121238,700.0
C5531319,F,45960.09,27/8/16,151959,100.0
C5531319,F,5076.76,8/9/16,144108,250.0
C5531319,F,3821.86,11/9/16,203716,453.0
C3510087,M,2911.05,1/8/16,215833,246.0
C3510087,F,28086.76,4/8/16,224454,2561.0
C3510087,M,872.6,20/8/16,150526,20.0
C3510087,M,2922877.73,12/9/16,214240,2599.88
C3510087,F,2399.7,15/9/16,130607,361.0
C4423377,F,36407.9,9/8/16,120030,6542.0
C4423377,F,231888.21,18/8/16,162856,424.6
C4423377,F,1449.74,24/8/16,190114,1449.0
C4423377,F,71597.49,3/9/16,174304,200.0
C4423377,F,17741.83,18/9/16,103623,632.56
C6111775,F,9418.72,9/8/16,130955,1426.0
C6111775,M,3145.53,7/8/16,152504,420.0
C6111775,M,9315.39,16/8/16,105504,9922.5
C6111775,M,6444.1,27/8/16,133605,257.0
C6111775,M,264452.65,23/8/16,145852,271.0
C8936730,M,256265.83,12/8/16,194339,1856.0
C8936730,M,45334.52,21/8/16,232304,2000.0
C8936730,F,2306.28,25/8/16,224347,25.0
C8936730,M,3214.87,3/9/16,193323,2000.0
C8936730,M,2895.25,4/9/16,175430,2900.0
C2927851,M,11679.41,5/8/16,151313,35.0
C2927851,M,13156.37,7/8/16,32529,331.0
C2927851,F,7.72,29/8/16,144314,47.0
C2927851,M,1420.51,2/9/16,205852,52.0
C2927851,F,3225.3,10/9/16,223146,27.0
C7439117,M,1301189.51,17/8/16,144012,3015.0
C7439117,F,12970.46,22/8/16,123526,6977.0
C7439117,M,16275.06,22/8/16,212706,975.0
C7439117,F,69453.38,28/8/16,124315,50.0
C7439117,M,32579.38,9/9/16,112913,606.9
C7210652,F,2222857.06,13/8/16,152127,1867.56
C7210652,M,42.0,19/8/16,193941,1760.0
C7210652,M,45856.24,23/8/16,121836,655.0
C7210652,M,258777.95,26/8/16,94709,535.0
C7210652,F,38980.55,4/9/16,131529,5630.0
C1621560,M,24920.67,26/9/16,150833,636.0
C1621560,M,54687.88,22/9/16,150814,30.0
C1621560,M,42197.82,11/8/16,104555,49.0
C1621560,M,20251.72,24/8/16,183155,576.18
C1621560,M,54687.88,31/8/16,90026,60.0
C8119822,M,10125.92,1/8/16,111240,700.0
C8119822,M,0.68,29/8/16,125615,46.0
C8119822,F,121.34,28/8/16,183404,450.0
C8119822,M,302596.98,8/9/16,211652,170.0
C8119822,F,20960.57,7/9/16,180207,335.0
C6927025,F,63.96,27/9/16,183518,694.0
